PM1.0,PM2.5,PM10,D.3,D.5,D1.0,D2.5,D5.0,D10,T,H
66,81,84,10533,3234,389,20,3,1,19.40,49.60
68,85,88,10848,3334,413,21,3,1,19.40,49.60
68,85,88,10848,3334,413,21,3,1,19.40,49.70
68,85,88,10848,3334,413,21,3,1,19.40,49.60
69,87,89,11130,3429,419,18,2,1,19.40,49.60
69,86,90,11202,3451,423,20,3,2,19.40,49.60
71,88,91,11433,3529,414,20,3,2,19.40,49.70
73,91,93,11847,3658,443,16,2,1,19.40,49.60
75,95,97,12426,3831,477,17,2,1,19.40,49.70
78,98,102,12813,3973,494,22,5,1,19.40,49.70
81,102,106,13218,4094,509,22,5,1,19.40,49.60
83,104,110,13203,4087,507,24,8,1,19.40,49.70
83,103,109,13143,4065,489,20,8,1,19.40,49.70
82,101,107,12975,4007,481,20,9,1,19.40,49.70
80,99,106,12822,3960,483,21,10,2,19.40,49.70
82,101,107,13164,4064,484,18,9,1,19.40,49.70
81,100,107,13128,4022,481,19,10,1,19.40,49.60
81,100,107,13107,4026,469,18,10,1,19.40,49.70
79,97,105,12963,3970,456,20,10,1,19.40,49.80
77,96,102,12723,3891,454,16,8,1,19.40,49.70
77,96,102,12723,3891,454,16,8,1,19.40,49.70
78,97,103,12723,3891,454,16,8,1,19.40,49.70
77,94,100,12498,3818,442,14,7,1,19.40,49.80
77,94,100,12498,3818,442,14,7,1,19.40,49.80
77,94,100,12498,3818,442,14,7,1,19.40,49.70
77,94,99,12504,3830,430,12,4,1,19.50,49.70
77,94,99,12504,3830,430,12,4,1,19.40,49.80
77,94,99,12504,3830,430,12,4,1,19.40,49.80
110,185,239,18063,5666,1376,191,66,24,19.40,49.70
125,209,267,20289,6386,1556,210,71,24,19.40,49.60
152,255,331,24363,7708,1970,260,97,31,19.40,49.70
160,268,347,25578,8091,2073,271,98,32,19.40,49.70
165,275,356,26304,8341,2119,278,100,33,19.40,49.60
165,275,356,26304,8343,2124,279,100,33,19.40,49.60
166,276,357,26364,8382,2125,277,100,33,19.40,49.70
168,280,360,26583,8464,2144,279,100,33,19.50,49.70
170,283,364,26976,8591,2165,278,100,33,19.40,49.60
172,286,368,27309,8678,2182,280,103,36,19.40,49.50
139,195,228,21690,6826,1239,105,41,13,19.40,49.70
125,172,201,19494,6108,1055,86,35,13,19.40,49.70
99,129,139,15732,4876,665,40,9,5,19.40,49.70
92,117,126,14640,4534,581,29,8,4,19.40,49.60
92,117,126,14640,4534,581,29,8,4,19.40,49.80
89,113,119,14190,4396,537,24,6,4,19.40,49.70
89,113,119,14190,4396,537,24,6,4,19.40,49.80
89,113,119,14190,4396,537,24,6,4,19.40,49.70
88,112,119,13965,4322,539,28,6,4,19.40,49.80
88,112,119,13965,4322,539,28,6,4,19.40,49.70
88,112,119,13965,4322,539,28,6,4,19.40,49.70
88,112,119,13992,4319,532,32,6,4,19.40,49.70
87,109,115,13800,4249,517,30,5,4,19.50,49.70
85,107,115,13605,4173,513,33,6,4,19.40,49.70
83,104,109,13266,4057,507,28,3,1,19.40,49.70
85,106,110,13488,4122,510,23,3,1,19.50,49.60
83,104,108,13299,4069,492,22,3,1,19.40,49.70
80,100,104,13242,4042,456,22,3,1,19.40,49.60
79,99,103,13026,3977,451,23,3,1,19.50,49.70
77,97,100,12720,3873,451,23,2,0,19.40,49.70
81,101,104,12864,3904,449,18,2,0,19.40,49.70
79,98,102,12567,3821,451,14,3,1,19.40,49.70
79,97,102,12612,3830,447,13,3,1,19.40,49.70
77,95,97,12408,3775,429,11,2,1,19.40,49.80
77,95,97,12408,3775,429,11,2,1,19.40,49.80
77,95,97,12408,3775,429,11,2,1,19.50,49.70
77,95,98,12387,3790,412,14,2,1,19.40,49.70
76,94,97,12387,3790,412,14,2,1,19.40,49.70
76,94,97,12387,3790,412,14,2,1,19.40,49.70
75,93,98,12201,3737,429,17,5,4,19.40,49.70
75,93,98,12201,3737,429,17,5,4,19.50,49.80
75,93,98,12201,3737,429,17,5,4,19.50,49.80
74,94,100,12132,3725,452,22,6,4,19.40,49.70
74,94,100,12132,3725,452,22,6,4,19.50,49.70
74,94,100,12132,3725,452,22,6,4,19.40,49.70
72,91,96,11796,3616,449,18,6,4,19.50,49.90
72,90,96,11736,3589,437,18,7,4,19.50,49.70
71,90,97,11637,3564,447,20,10,4,19.50,49.80
69,87,95,11421,3494,423,21,11,4,19.40,49.70
68,87,94,11364,3477,415,23,11,3,19.50,49.70
67,87,95,11271,3444,414,26,12,4,19.50,49.70
66,85,93,11061,3376,415,25,12,4,19.50,49.70
69,88,97,11022,3371,418,22,12,4,19.50,49.80
67,87,94,10851,3312,405,24,10,1,19.40,49.80
69,88,97,11070,3380,412,25,10,1,19.50,49.70
68,88,99,11334,3461,422,29,14,4,19.40,49.70
67,87,98,11217,3434,426,31,14,4,19.40,49.70
